,strike,maturity,call,put
75,1.0400000000000003,0.6666666666666666,0.060498804279047184,0.08321986654613053
76,1.0400000000000003,0.8333333333333333,0.07249687331621742,0.0909739089412931
77,1.0400000000000003,0.9999999999999999,0.08434723951641958,0.09855236691225291
78,1.0600000000000003,0.16666666666666666,0.013392878243779976,0.0689750789257571
79,1.0600000000000003,0.3333333333333333,0.02780238905994542,0.07895069436091327
80,1.0600000000000003,0.5,0.04061841605809121,0.08741643407083836
81,1.0600000000000003,0.6666666666666666,0.05317633779058239,0.09556682913409795
82,1.0600000000000003,0.8333333333333333,0.06491355809210216,0.1029782373438028
83,1.0600000000000003,0.9999999999999999,0.07658033992237456,0.11029166555877443
84,1.0800000000000003,0.16666666666666666,0.009640031993390414,0.08513907271226968
85,1.0800000000000003,0.3333333333333333,0.022688224681423806,0.09367055583516927
