Epoch 1/1000 | SDE training launched
Iteration 5/20 | SDE loss = 1.821e-05, MSE = 1.821e-05, exotic = 1.7002e-01, time = 1.27
Iteration 6/20 | SDE loss = 1.826e-05, MSE = 1.826e-05, exotic = 1.6845e-01, time = 1.26
Iteration 7/20 | SDE loss = 1.729e-05, MSE = 1.729e-05, exotic = 1.6726e-01, time = 1.25
Iteration 8/20 | SDE loss = 1.672e-05, MSE = 1.672e-05, exotic = 1.6554e-01, time = 1.27
Iteration 9/20 | SDE loss = 1.737e-05, MSE = 1.737e-05, exotic = 1.6372e-01, time = 1.28
Iteration 10/20 | SDE loss = 1.703e-05, MSE = 1.703e-05, exotic = 1.6282e-01, time = 1.30
Iteration 11/20 | SDE loss = 1.754e-05, MSE = 1.754e-05, exotic = 1.6171e-01, time = 1.33
Iteration 12/20 | SDE loss = 1.794e-05, MSE = 1.794e-05, exotic = 1.6109e-01, time = 1.23
Iteration 13/20 | SDE loss = 1.689e-05, MSE = 1.689e-05, exotic = 1.6007e-01, time = 1.34
Iteration 14/20 | SDE loss = 1.726e-05, MSE = 1.726e-05, exotic = 1.6100e-01, time = 1.37
Iteration 15/20 | SDE loss = 1.674e-05, MSE = 1.674e-05, exotic = 1.6108e-01, time = 1.25
Iteration 16/20 | SDE loss = 1.676e-05, MSE = 1.676e-05, exotic = 1.6095e-01, time = 1.25
Iteration 17/20 | SDE loss = 1.659e-05, MSE = 1.659e-05, exotic = 1.6206e-01, time = 1.29
Iteration 18/20 | SDE loss = 1.668e-05, MSE = 1.668e-05, exotic = 1.6246e-01, time = 1.28
Iteration 19/20 | SDE loss = 1.590e-05, MSE = 1.590e-05, exotic = 1.6259e-01, time = 1.29
Iteration 20/20 | SDE loss = 1.630e-05, MSE = 1.630e-05, exotic = 1.6310e-01, time = 1.25
Epoch 4/1000 | SDE average MSE = 1.772e-05, time = 25.60
Epoch 4/1000 | CV training launched
Iteration 1/20 | CV loss = 5.639e-01, time = 1.02
Iteration 2/20 | CV loss = 5.440e-01, time = 1.05
Iteration 3/20 | CV loss = 5.365e-01, time = 1.04
Iteration 4/20 | CV loss = 5.103e-01, time = 1.02
Iteration 5/20 | CV loss = 5.074e-01, time = 0.96
Iteration 6/20 | CV loss = 4.950e-01, time = 1.06
Iteration 7/20 | CV loss = 4.776e-01, time = 1.05
Iteration 8/20 | CV loss = 4.655e-01, time = 1.05
Iteration 9/20 | CV loss = 4.518e-01, time = 1.05
Iteration 10/20 | CV loss = 4.409e-01, time = 1.04
Iteration 11/20 | CV loss = 4.273e-01, time = 1.04
Iteration 12/20 | CV loss = 4.137e-01, time = 1.04
Iteration 13/20 | CV loss = 4.054e-01, time = 1.04
Iteration 14/20 | CV loss = 3.958e-01, time = 1.02
Iteration 15/20 | CV loss = 3.879e-01, time = 0.98
Iteration 16/20 | CV loss = 3.727e-01, time = 1.06
Iteration 17/20 | CV loss = 3.684e-01, time = 1.02
Iteration 18/20 | CV loss = 3.571e-01, time = 1.05
Iteration 19/20 | CV loss = 3.514e-01, time = 1.05
Iteration 20/20 | CV loss = 3.388e-01, time = 1.02
Epoch 4/1000 | CV average loss = 4.406e-01, time = 20.65
Epoch 4/1000 | elapsed time = 46.25
Epoch 5/1000 | SDE training launched
Iteration 1/20 | SDE loss = 1.577e-05, MSE = 1.577e-05, exotic = 1.6358e-01, time = 1.29
Iteration 2/20 | SDE loss = 1.588e-05, MSE = 1.588e-05, exotic = 1.6454e-01, time = 1.36
Iteration 3/20 | SDE loss = 1.562e-05, MSE = 1.562e-05, exotic = 1.6496e-01, time = 1.26
Iteration 4/20 | SDE loss = 1.534e-05, MSE = 1.534e-05, exotic = 1.6497e-01, time = 1.22
Iteration 5/20 | SDE loss = 1.519e-05, MSE = 1.519e-05, exotic = 1.6526e-01, time = 1.29
Iteration 6/20 | SDE loss = 1.542e-05, MSE = 1.542e-05, exotic = 1.6583e-01, time = 1.33
Iteration 7/20 | SDE loss = 1.516e-05, MSE = 1.516e-05, exotic = 1.6579e-01, time = 1.26
Iteration 8/20 | SDE loss = 1.502e-05, MSE = 1.502e-05, exotic = 1.6574e-01, time = 1.26
Iteration 9/20 | SDE loss = 1.462e-05, MSE = 1.462e-05, exotic = 1.6538e-01, time = 1.29
Iteration 10/20 | SDE loss = 1.448e-05, MSE = 1.448e-05, exotic = 1.6563e-01, time = 1.31
Iteration 11/20 | SDE loss = 1.461e-05, MSE = 1.461e-05, exotic = 1.6475e-01, time = 1.29
Iteration 12/20 | SDE loss = 1.455e-05, MSE = 1.455e-05, exotic = 1.6449e-01, time = 1.26
Iteration 13/20 | SDE loss = 1.422e-05, MSE = 1.422e-05, exotic = 1.6482e-01, time = 1.28
Iteration 14/20 | SDE loss = 1.442e-05, MSE = 1.442e-05, exotic = 1.6540e-01, time = 1.30
Iteration 15/20 | SDE loss = 1.427e-05, MSE = 1.427e-05, exotic = 1.6588e-01, time = 1.24
Iteration 16/20 | SDE loss = 1.435e-05, MSE = 1.435e-05, exotic = 1.6577e-01, time = 1.27
Iteration 17/20 | SDE loss = 1.425e-05, MSE = 1.425e-05, exotic = 1.6505e-01, time = 1.28
Iteration 18/20 | SDE loss = 1.417e-05, MSE = 1.417e-05, exotic = 1.6550e-01, time = 1.28
Iteration 19/20 | SDE loss = 1.376e-05, MSE = 1.376e-05, exotic = 1.6652e-01, time = 1.27
Iteration 20/20 | SDE loss = 1.348e-05, MSE = 1.348e-05, exotic = 1.6613e-01, time = 1.30
Epoch 5/1000 | SDE average MSE = 1.473e-05, time = 25.67
Epoch 5/1000 | CV training launched
Iteration 1/20 | CV loss = 3.259e-01, time = 0.99
Iteration 2/20 | CV loss = 3.202e-01, time = 1.03
Iteration 3/20 | CV loss = 3.117e-01, time = 1.01
Iteration 4/20 | CV loss = 3.067e-01, time = 1.01
Iteration 5/20 | CV loss = 2.995e-01, time = 1.05
Iteration 6/20 | CV loss = 2.928e-01, time = 1.07
Iteration 7/20 | CV loss = 2.878e-01, time = 1.01
Iteration 8/20 | CV loss = 2.841e-01, time = 1.01
Iteration 9/20 | CV loss = 2.804e-01, time = 1.00
Iteration 10/20 | CV loss = 2.732e-01, time = 1.01
Iteration 11/20 | CV loss = 2.682e-01, time = 0.99
Iteration 12/20 | CV loss = 2.614e-01, time = 0.98
Iteration 13/20 | CV loss = 2.596e-01, time = 1.02
Iteration 14/20 | CV loss = 2.509e-01, time = 1.01
Iteration 15/20 | CV loss = 2.503e-01, time = 1.01
Iteration 16/20 | CV loss = 2.470e-01, time = 1.00
Iteration 17/20 | CV loss = 2.385e-01, time = 0.99
Iteration 18/20 | CV loss = 2.368e-01, time = 0.99
Iteration 19/20 | CV loss = 2.301e-01, time = 0.99
Iteration 20/20 | CV loss = 2.303e-01, time = 1.00
Epoch 5/1000 | CV average loss = 2.728e-01, time = 20.16
Epoch 5/1000 | elapsed time = 45.83
Epoch 6/1000 | SDE training launched
Iteration 1/20 | SDE loss = 1.392e-05, MSE = 1.392e-05, exotic = 1.6643e-01, time = 1.26
Iteration 2/20 | SDE loss = 1.420e-05, MSE = 1.420e-05, exotic = 1.6671e-01, time = 1.26
Iteration 3/20 | SDE loss = 1.421e-05, MSE = 1.421e-05, exotic = 1.6669e-01, time = 1.27
Iteration 4/20 | SDE loss = 1.381e-05, MSE = 1.381e-05, exotic = 1.6639e-01, time = 1.23
Iteration 5/20 | SDE loss = 1.411e-05, MSE = 1.411e-05, exotic = 1.6611e-01, time = 1.28
Iteration 6/20 | SDE loss = 1.427e-05, MSE = 1.427e-05, exotic = 1.6576e-01, time = 1.26
Iteration 7/20 | SDE loss = 1.338e-05, MSE = 1.338e-05, exotic = 1.6514e-01, time = 1.25
